NAME,DATE,TAVG,TMIN,TMAX
"KIAMICHI OKLAHOMA, OK US",1/4/2021,47.0,47.0,47.0
"HAVRE DE GRACE 4.0 WNW, MD US",1/4/2021,39.241379310344826,39.241379310344826,39.241379310344826
"UNIVERSITY OF HAWAII 713, HI US",1/4/2021,39.241379310344826,39.241379310344826,39.241379310344826
"MCFARLAND HILL MAINE, ME US",1/4/2021,27.0,27.0,27.0
"BIG OAKS INDIANA, IN US",1/4/2021,36.0,36.0,36.0
"CONCORD 3.8 SSE, NH US",1/4/2021,39.241379310344826,39.241379310344826,39.241379310344826
"GEORGETOWN DELAWARE COASTAL AIRPORT, DE US",1/4/2021,39.241379310344826,39.241379310344826,39.241379310344826
"EB FORSYTHE NEW JERSEY, NJ US",1/4/2021,39.0,39.0,39.0
"SAVRAW SOUTH CAROLINA, SC US",1/4/2021,45.0,45.0,45.0
"BUFFUMVILLE LAKE, MA US",1/4/2021,39.241379310344826,39.241379310344826,39.241379310344826
"RINCON ARIZONA, AZ US",1/4/2021,44.0,44.0,44.0
"FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT, AR US",1/4/2021,39.241379310344826,39.241379310344826,39.241379310344826
"NINIGRET RHODE ISLAND, RI US",1/4/2021,35.0,35.0,35.0
"MATTHEWS PALMER PLAYGROUND NEW YORK 6.8 NNW, NY US",1/4/2021,39.241379310344826,39.241379310344826,39.241379310344826
"EFFIE MINNESOTA, MN US",1/4/2021,29.0,29.0,29.0
"DAWSONVILLE GEORGIA, GA US",1/4/2021,43.0,43.0,43.0
"IOWA CITY MUNICIPAL AIRPORT, IA US",1/4/2021,39.241379310344826,39.241379310344826,39.241379310344826
"MDC CLINTON HQTRS MISSOURI, MO US",1/4/2021,36.0,36.0,36.0
"PLEASANT GROVE UTAH, UT US",1/4/2021,38.0,38.0,38.0
"SAND CREEK NORTH DAKOTA, ND US",1/4/2021,33.0,33.0,33.0
"CAMPBELL 1.4 NNW, FL US",1/4/2021,39.241379310344826,39.241379310344826,39.241379310344826
"KISATCHIE FTS LOUISIANA, LA US",1/4/2021,55.0,55.0,55.0
"ALLISON OREGON, OR US",1/4/2021,33.0,33.0,33.0
"CALAVERAS ROAD CALIFORNIA, CA US",1/4/2021,52.0,52.0,52.0
"ALBUQUERQUE 5.0 NE, NM US",1/4/2021,39.241379310344826,39.241379310344826,39.241379310344826
"BUDE MISSISSIPPI, MS US",1/4/2021,54.0,54.0,54.0
"MARTINSBURG EASTERN WEST VIRGINIA REGIONAL AIRPORT, WV US",1/4/2021,39.241379310344826,39.241379310344826,39.241379310344826
"MOUNT RUSHMORE SOUTH DAKOTA, SD US",1/4/2021,37.0,37.0,37.0
"ST. MARY MONTANA, MT US",1/4/2021,37.0,37.0,37.0
"BARKHAMSTED, CT US",1/4/2021,39.241379310344826,39.241379310344826,39.241379310344826
"SPRUCE MOUNTAIN NEVADA, NV US",1/5/2021,29.0,29.0,29.0
